id_parte,title,categoria,eje,ancho,alto,espesor,diametro,diametro_centrado,taladros,altura_interna,semimetalica,ceramica,low_metal,imagen
M1345/M1339/M168,M1345/M1339/M168 - Pastillas de Freno Cerámica Delanteras Para Honda  Subaru,pastilla,DELANTERO,137.8,52.5,17.5,,,,,false,true,false,M1345.svg
M1349,M1349 - Pastillas de Freno Cerámica Delanteras Para Honda,pastilla,DELANTERO,148.8,60.7,16.4,,,,,false,true,false,M1349.svg
M1351,M1351 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,172,66.1,17,,,,,true,true,true,M1351.svg
M1353,M1353 - Pastillas de Freno Cerámica Traseras para Peugeot Citroen,pastilla,TRASERO,105.8,51.9 & 55.4,17.7,,,,,true,true,false,M1353.svg
M1354,M1354 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,140,55.1,16.3,,,,,true,true,true,M1354.svg
M1357,M1357 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,136.9,55.6 & 58,18.5,,,,,true,true,true,M1357.svg
M1359,M1359 - Pastillas de Freno Cerámica Delanteras Para Kia,pastilla,DELANTERO,161,60.5,16.7,,,,,false,true,false,M1359.svg
M1361,M1361 - Pastillas de Freno Cerámica Delanteras Para Hyundai  Kia,pastilla,DELANTERO,140.6,61.1,16.8,,,,,true,true,true,M1361.svg
M1362,M1362 - Pastillas de Freno Ceramica Delanteras Opel,pastilla,DELANTERO,155.3,52.5,17.1,,,,,false,true,false,M1362.svg
M1363,M1363 - Pastillas de Freno Cerámica Traseras Mazda  CX-5 (2017-2019),pastilla,TRASERO,112.4,42.6,14.3,,,,,false,true,true,M1363.svg
M1364,M1364 - Pastillas de Freno Cerámica Traseras Renault - Mazda,pastilla,TRASERO,104.2,47.2,15.4,,,,,false,true,false,M1364.svg
M1366,M1366 - Pastillas de Freno Cerámica Traseras BMW,pastilla,TRASERO,71.8,88,17,,,,,false,true,false,M1366.svg
M1370,M1370 - Pastillas de Freno Cerámica Delanteras SSangYong,pastilla,DELANTERO,133,58.4,17.4,,,,,false,true,false,M1370.svg
M1376,M1376 - Pastillas de Freno Cerámica Delanteras Nissan  Xtrail (2015-2020),pastilla,DELANTERO,152,61.5,15.8,,,,,false,true,true,M1376.svg
M1379,M1379 - Pastillas de Freno Cerámica Delanteras Mazda  New Mazda 3 Sedan x,pastilla,DELANTERO,142.1,55.6,15.8,,,,,true,true,true,M1379.svg
M1381,M1381 Pastillas de Freno Ceramica Delantera Renault Clio (2012-2019),pastilla,DELANTERO,155,49,16.9,,,,,false,true,false,M1381.svg
M1382,M1382 - Pastillas de Freno Cerámica Traseras Mazda / OEM B4Y02648ZB,pastilla,TRASERO,101.5,44.5,13.8,,,,,false,true,false,M1382.svg
M1383,M1383 - Pastillas de Freno Cerámica Delanteras Renault,pastilla,DELANTERO,140.2,41.3 & 43.8,18,,,,,false,true,false,M1383.svg
M1393,M1393 - Pastillas de Freno Cerámica  Delanteras Ford  Great Wall,pastilla,DELANTERO,193.2,64.6,19.1,,,,,false,true,false,M1393.svg
M1394/M1288,M1394/M1288 - Pastillas de Freno Cerámica Traseras Para Ford  Great Wall,pastilla,TRASERO,123.2,53.2 & 48.4,15.9,,,,,true,true,false,M1394.svg
M1398/M993,M1398/M993 - Pastillas de Freno Cerámica  Delanteras Para Honda,pastilla,DELANTERO,170,58,16.9,,,,,false,true,false,M1398.svg
M1399,M1399 - Pastillas de Freno Cerámica Traseras Para Honda,pastilla,TRASERO,113.3,48.4,15.4,,,,,false,true,false,M1399.svg
M1401,M1401 - Pastillas de Freno Cerámica Delanteras para Skoda Volkswagen,pastilla,DELANTERO,131,52.5,18,,,,,true,true,false,M1401.svg
M1402,M1402 - Pastillas de Freno Cerámica Delanteras Opel,pastilla,DELANTERO,155.2,68 & 61.8,17.8,,,,,false,true,false,M1402.svg
M1406,M1406 - Pastillas de Freno Cerámica Traseras para Citroen Fiat Peugeot,pastilla,TRASERO,137.1,48.8,18.7,,,,,true,true,false,M1406.svg
M1407,M1407 Pastillas de Freno Ceramica Delantera Nissan New Versa (2021-2022),pastilla,DELANTERO,125.8,51.4,15.9,,,,,true,true,true,M1407.svg
M1411,M1411 - Pastillas de Freno Cerámica Traseras Mazda  New Mazda 3 Sedan x / bay02643za,pastilla,TRASERO,104.2,43.4,15,,,,,false,true,true,M1411.svg
M1418,M1418 - Pastillas de Freno Cerámica Delanteras Peugeot,pastilla,DELANTERO,180.2,69.5,17,,,,,false,true,false,M1418.svg
M1419,M1419 - Pastillas de Freno Cerámica Traseras Peugeot,pastilla,TRASERO,113.9,53.5,16.5,,,,,false,true,false,M1419.svg
M1420,M1420 - Pastillas de Freno Cerámica Traseras Dodge Chrysler - Fiat,pastilla,DELANTERO,141,63.3,20.1,,,,,false,true,false,M1420.svg
M1421,M1421 - Pastillas de Freno Cerámica Traseras Dodge Chrysler - Fiat,pastilla,TRASERO,116,50,17,,,,,false,true,false,M1421.svg
M1424,M1424 - Pastillas de Freno Cerámica Delanteras Dodge Chrysler,pastilla,DELANTERO,194.3 & 193.1,64,19,,,,,false,true,false,M1424.svg
M1425,M1425 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,186,59,17,,,,,false,true,false,M1425.svg
M1426,M1426 - Pastillas de Freno Cerámica Traseras Para Ford,pastilla,TRASERO,126.7,48,16.2,,,,,false,true,false,M1426.svg
M1430,M1430 - Pastillas de Freno Cerámica Traseras Para Subaru,pastilla,TRASERO,123.2,52 & 48,14.5,,,,,true,true,true,M1430.svg
M1431,M1431 Pastillas de Freno Ceramica Delantera Subaru,pastilla,DELANTERO,145.3,58.4,17,,,,,true,true,true,M1431.svg
M1432,M1432 Pastillas de Freno Ceramica Delantera Jac S2 / S3 / J3,pastilla,DELANTERO,124.3,52.8,16,,,,,true,true,true,M1432.svg
M1436,M1436 - Pastillas de Freno Cerámica Delanteras para Citroen Peugeot,pastilla,DELANTERO,133,60.2 & 52.5,18.8,,,,,true,true,false,M1436.svg
M1437,M1437 - Pastillas de Freno Cerámica Delanteras para Volkswagen,pastilla,DELANTERO,192.9,75.1,18,,,,,true,true,false,M1437.svg
M1443,M1443 - Pastillas de Freno Cerámica Traseras Para Honda,pastilla,TRASERO,117,45,17,,,,,false,true,false,M1443.svg
M1445,M1445 - Pastillas de Freno Cerámica Traseras para MG,pastilla,TRASERO,105.8,48.4,16.1,,,,,false,true,false,M1445.svg
M1449,M1449 - Pastillas de Freno Cerámica Traseras Para Audi Volkswagen,pastilla,TRASERO,104.1,52.1,17.4,,,,,true,true,false,M1449.svg
M1462,M1462 - Pastillas de Freno Cerámica Delanteras Para Ford,pastilla,DELANTERO,163.1,90.7 & 81,16.8,,,,,false,true,false,M1462.svg
M1463,M1463 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,140.6,59.6,18,,,,,true,true,true,M1463.svg
M1468,M1468 - Pastillas de Freno Ceramica Delantera Mazda Demio (2007 - 2014) / Mazda 2 (2007 - 2015),pastilla,DELANTERO,125.5,48.1,14.5,,,,,true,true,true,M1468.svg
M1473,M1473 - Pastillas de Freno Ceramica Delanteras para MG D2031,pastilla,DELANTERO,155.1 & 156.4,62.4 & 56.1,16.7,,,,,true,true,true,M1473.svg
M1476,M1476 - Pastillas de Freno Cerámica Delanteras Kia,pastilla,DELANTERO,122,55,18,,,,,true,true,true,M1476.svg
M1479,M1479 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,155.1,56.6,17,,,,,false,true,false,M1479.svg
M1480,M1480 - Pastillas de Freno Cerámica Traseras Para Chevrolet,pastilla,TRASERO,104.2,41.6,16.1,,,,,false,true,false,M1480.svg
M1483,M1483 - Pastillas de Freno Cerámica Delanteras Para Chevrolet,pastilla,DELANTERO,140.6,59.7,18,,,,,false,true,false,M1483.svg
M1484/M1409,M1484/M1409 - Pastillas de Freno Cerámica Traseras Para Chevrolet,pastilla,TRASERO,106.4,46.4,17,,,,,false,true,false,M1484.svg
M1485,M1485 - Pastillas de Freno Cerámica Delanteras para Volkswagen,pastilla,DELANTERO,175.2,69.5,20,,,,,true,true,false,M1485.svg
M1486,M1486 - Pastillas de Freno Ceramica Delantera Chevrolet Colorado 28 (2019 - 2022),pastilla,DELANTERO,151.9,61.3,16,,,,,false,true,false,M1486.svg
M1489,M1489 - Pastillas de Freno Cerámica Traseras Para Honda /Mitsubishi Eclipse Cross (2017 - 2022),pastilla,TRASERO,122.6,48.4 & 53.2,15,,,,,false,true,false,M1489.svg
M1509,M1509 - Pastillas de Freno Cerámica Delanteras Para Honda CR V (2017-2022),pastilla,DELANTERO,148.8,62,17,,,,,false,true,false,M1509.svg
M1515,M1515 - Pastillas de Freno Cerámica Traseras Para Honda CR V (2017 - 2022),pastilla,TRASERO,118.9,49.1,17,,,,,false,true,false,M1515.svg
M1526,M1526 - Pastillas de Freno Cerámica Delanteras para Toyota,pastilla,DELANTERO,142.5,56,16.4,,,,,false,true,true,M1526.svg
M1527,M1527 - Pastillas de Freno Cerámica Traseras para Toyota,pastilla,TRASERO,121.3,42.7,14.5,,,,,false,true,false,M1527.svg
M1530,M1530 Pastillas de freno low metal delanteras para chevrolet,pastilla,DELANTERO,129.9,60.9,17,,,,,false,false,true,M1530.svg
M1531,M1531 Pastillas de freno traseras para Chevrolet Groove (2021 - actual),pastilla,TRASERO,103.5,42.5,13.9,,,,,false,true,false,M1531.svg
